Data,Algo,K,Precision@k,Recall@k,NDCG@k,Mean average precision,diversity,Hit
1807948,autoencoder,10,0.011523429291867839,0.008213725698639545,0.008713404673217968,0.0034739758346251878,0.08358542401206676,0.09119562933389368
1807948,autoencoder,25,0.009048561779956332,0.01595218268623617,0.011751174451042498,0.00422448647590093,0.10384025334430877,0.16163059466274426
1807948,autoencoder,50,0.007678080430581912,0.025959027247524604,0.015471616228750066,0.004729427164028634,0.12326239063844324,0.24185753309518807
5423844,cosine_similarity,10,0.011960495902500395,0.008513005930868074,0.009229776714442587,0.003679974985603457,0.0950349024910522,0.09333893675141837
5423844,cosine_similarity,25,0.009428413178304519,0.01658039704815845,0.012328840630461696,0.004474634117822943,0.11721111989861123,0.16654759403235975
5423844,cosine_similarity,50,0.008048266494449525,0.027080989251274393,0.016231936886182224,0.005005588849447067,0.13846538786266502,0.2525740701828115
